"region_code","bs_pm25_mean","bs_pm25_max","bs_n_weeks","bl_pm25_mean","pm25_excess","pm25_ratio","smoke_zone"
"316",8.73376082031443,77.5701786703067,21,4.57832179393475,4.15543902637967,1.90763367308185,"low"
"317",11.7877933658658,95.887932808465,21,6.93935913163623,4.84843423422953,1.69868616715998,"low"
"318",7.61802721088435,23.7,21,6.25146753246753,1.36655967841682,1.21859822054893,"low"
"319",9.63893443910107,44.8773833194986,21,7.06833673184932,2.57059770725175,1.36367787851261,"low"
"401",7.97105314794117,35.6531160124038,10,NA,0.971053147941173,1.13872187827731,"low"
"402",7.96651403325183,38.893996741603,10,NA,0.96651403325183,1.13807343332169,"low"
"403",7.83572323500761,35.5483117285395,10,NA,0.835723235007612,1.11938903357252,"low"
"404",7.38636604737911,33.5947278091825,10,NA,0.38636604737911,1.05519514962559,"low"
"405",8.54931401279206,33.4228771745521,10,NA,1.54931401279206,1.22133057325601,"low"
"406",12.2140952380952,49.5,10,NA,5.21409523809524,1.74487074829932,"medium"
"407",8.0732263554474,36.9723356021735,10,NA,1.0732263554474,1.1533180507782,"low"
"501",12.2140952380952,49.5,10,NA,5.21409523809524,1.74487074829932,"medium"
"502",12.2140952380952,49.5,10,NA,5.21409523809524,1.74487074829932,"medium"
"503",12.2140952380952,49.5,10,NA,5.21409523809524,1.74487074829932,"medium"
"504",12.2140952380952,49.5,10,NA,5.21409523809524,1.74487074829932,"medium"
"505",12.2140952380952,49.5,10,NA,5.21409523809524,1.74487074829932,"medium"
"506",12.2140952380952,49.5,10,NA,5.21409523809524,1.74487074829932,"medium"
"507",12.2140952380952,49.5,10,NA,5.21409523809524,1.74487074829932,"medium"
"509",12.2140952380952,49.5,10,NA,5.21409523809524,1.74487074829932,"medium"
"511",12.2140952380952,49.5,10,NA,5.21409523809524,1.74487074829932,"medium"
"801",70.7599485553266,874.122566039238,10,8.08333333333333,62.6766152219933,8.7538080687002,"high"
